首次发布时间,update_date,标准品牌,标准车系,车源发布状态,标价
2017/9/25,2017/9/25,宝马,宝马5系,3,13.8
2017/9/16,2017/9/25,宝马,宝马5系,3,37
2017/9/25,2017/9/25,宝马,宝马5系(进口),3,28.78
2017/9/25,2017/9/25,宝马,宝马5系,3,22.9
2017/9/13,2017/9/25,宝马,宝马5系,3,37.98
2017/9/25,2017/9/25,宝马,宝马5系,3,25.6
2017/9/25,2017/9/25,宝马,宝马5系,3,28.8
2017/9/11,2017/9/25,宝马,宝马5系(进口),3,44.3
2017/9/13,2017/9/25,宝马,宝马5系,3,25.9
2017/9/3,2017/9/25,宝马,宝马5系,3,28.8
2017/9/19,2017/9/25,宝马,宝马5系,3,35.8
2017/9/15,2017/9/25,宝马,宝马5系,3,8.9
2017/9/16,2017/9/25,宝马,宝马5系,3,27.1
2017/9/11,2017/9/25,宝马,宝马5系,3,32
2017/9/15,2017/9/25,宝马,宝马5系(进口),3,26.8
2017/9/4,2017/9/25,宝马,宝马5系,3,23.58
2017/9/25,2017/9/25,宝马,宝马5系,3,31.6
2017/9/21,2017/9/25,宝马,宝马5系,3,13.5
2017/9/1,2017/9/25,宝马,宝马5系GT,3,59.8
2017/9/21,2017/9/25,宝马,宝马5系,3,35.8
2017/9/24,2017/9/25,宝马,宝马5系,3,35.5
2017/9/4,2017/9/25,宝马,宝马5系,3,24
2017/9/16,2017/9/25,宝马,宝马5系,3,41.8
2017/9/3,2017/9/25,宝马,宝马5系,3,24.5
2017/9/25,2017/9/25,宝马,宝马5系,3,27.88
2017/9/5,2017/9/25,宝马,宝马5系,3,29.3
2017/9/7,2017/9/25,宝马,宝马5系,3,34.9
2017/9/2,2017/9/25,宝马,宝马5系,3,29.8
2017/9/10,2017/9/25,宝马,宝马5系,3,34.8
2017/9/5,2017/9/25,宝马,宝马5系,3,24.68
2017/9/5,2017/9/25,宝马,宝马5系,3,29.3
2017/9/13,2017/9/25,宝马,宝马5系,3,37.99
2017/9/15,2017/9/25,宝马,宝马5系,3,27.5
2017/9/12,2017/9/25,宝马,宝马5系,3,13.68
2017/9/13,2017/9/25,宝马,宝马5系,3,22.28
2017/9/14,2017/9/25,宝马,宝马5系,3,23.77
2017/9/7,2017/9/25,宝马,宝马5系,3,35.8
2017/9/13,2017/9/25,宝马,宝马5系,3,25.9
2017/9/7,2017/9/25,宝马,宝马5系,3,32.98
2017/9/15,2017/9/25,宝马,宝马5系,3,27.5
2017/9/7,2017/9/25,宝马,宝马5系,3,23.8
2017/9/15,2017/9/25,宝马,宝马5系,3,6.6
2017/9/12,2017/9/25,宝马,宝马5系,3,26.8
2017/9/25,2017/9/25,宝马,宝马5系,3,35.8
2017/9/12,2017/9/25,宝马,宝马5系,3,13.68
2017/9/7,2017/9/25,宝马,宝马5系,3,9.8
2017/9/9,2017/9/25,宝马,宝马5系,3,22.8
2017/9/16,2017/9/25,宝马,宝马5系,3,31.68
2017/9/11,2017/9/25,宝马,宝马5系,3,29.9
2017/9/25,2017/9/25,宝马,宝马5系,3,38.8
2017/9/12,2017/9/25,宝马,宝马5系,3,29.6
2017/9/12,2017/9/25,宝马,宝马5系,3,29.6
2017/9/25,2017/9/25,宝马,宝马5系,3,25.98
2017/9/16,2017/9/25,宝马,宝马5系,3,41.8
2017/9/17,2017/9/25,宝马,宝马5系,3,31.88
2017/9/18,2017/9/25,宝马,宝马5系,3,25.5
2017/9/19,2017/9/25,宝马,宝马5系,3,33.8
2017/9/16,2017/9/25,宝马,宝马5系,3,22.28
2017/9/23,2017/9/25,宝马,宝马5系,3,35.8
2017/9/24,2017/9/25,宝马,宝马5系(进口),3,33
2017/9/19,2017/9/25,宝马,宝马5系,3,38.8
2017/9/24,2017/9/25,宝马,宝马5系,3,31.8
2017/9/15,2017/9/25,宝马,宝马5系,3,35.8
2017/9/25,2017/9/25,宝马,宝马5系,3,31.5
2017/9/22,2017/9/25,宝马,宝马5系,3,33.99
2017/9/24,2017/9/25,宝马,宝马5系,3,27.6
2017/9/17,2017/9/25,宝马,宝马5系,3,29.88
2017/9/20,2017/9/25,宝马,宝马5系(进口),3,33.98
2017/9/22,2017/9/25,宝马,宝马5系,3,33.2
2017/9/18,2017/9/25,宝马,宝马5系,3,40.8
