城市,首次发布时间,标准品牌,标准车系,站点,成份车商名,来源,天眼属性
福州,2017/6/30 10:45,别克,凯越,273,,,
深圳,2017/6/30 10:44,别克,凯越,华夏二手车,,,
昆明,2017/6/30 10:43,别克,凯越,273,,,
福州,2017/6/30 10:42,别克,凯越,淘车,,,
南京,2017/6/30 10:42,别克,凯越,淘车,看车网（南京）,看车网,2
厦门,2017/6/30 10:42,别克,凯越,273,,,
青岛,2017/6/30 10:41,别克,凯越,淘车,,,
营口,2017/6/30 10:40,别克,凯越,百姓,,,
重庆,2017/6/30 10:39,别克,凯越,淘车,,,
厦门,2017/6/30 10:39,别克,凯越,273,,,
石家庄,2017/6/30 10:38,别克,凯越,淘车,,,
宁波,2017/6/30 10:37,别克,凯越,淘车,,,
泉州,2017/6/30 10:35,别克,凯越,273,,,
石家庄,2017/6/30 10:35,别克,凯越,人人车,人人车（石家庄）,人人车网,2
厦门,2017/6/30 10:35,别克,凯越,百姓,,,
西安,2017/6/30 10:32,别克,凯越,淘车,,,
苏州,2017/6/30 10:31,别克,凯越,二手车之家,,,
漳州,2017/6/30 10:29,别克,凯越,273,,,
绵阳,2017/6/30 10:28,别克,凯越,看车网,,,
福州,2017/6/30 10:26,别克,凯越,华夏二手车,,,
唐山,2017/6/30 10:25,别克,凯越,百姓,,,
西安,2017/6/30 10:24,别克,凯越,二手车之家,,,
顺德,2017/6/30 10:23,别克,凯越HRV,百姓,,,
北京,2017/6/30 10:21,别克,凯越,搜狐,,,
沈阳,2017/6/30 10:18,别克,凯越,淘车,,,
商丘,2017/6/30 10:18,别克,凯越,273,,,
杭州,2017/6/30 10:18,别克,凯越,二手车之家,杭州同清旧机动车经纪有限公司,网络媒体,3
慈溪,2017/6/30 10:16,别克,凯越HRV,百姓,,,
上海,2017/6/30 10:14,别克,凯越,看车网,,,
石家庄,2017/6/30 10:13,别克,凯越,淘车,,,
大连,2017/6/30 10:11,别克,凯越,搜狐,,,
郑州,2017/6/30 10:10,别克,凯越,淘车,看车网（郑州）,看车网,2
宜兴,2017/6/30 10:10,别克,凯越,百姓,,,
锦州,2017/6/30 10:09,别克,凯越,百姓,,,
杭州,2017/6/30 10:09,别克,凯越,百姓,,,
绵阳,2017/6/30 10:09,别克,凯越,百姓,,,
宁波,2017/6/30 10:08,别克,凯越,淘车,,,
长沙,2017/6/30 10:05,别克,凯越,华夏二手车,,,
郑州,2017/6/30 10:04,别克,凯越,淘车,,,
上海,2017/6/30 10:03,别克,凯越,搜狐,,,
余姚,2017/6/30 10:01,别克,凯越,百姓,,,
海门,2017/6/30 10:01,别克,凯越,百姓,,,
海门,2017/6/30 10:01,别克,凯越,百姓,,,
牡丹江,2017/6/30 9:59,别克,凯越,百姓,,,
荆门,2017/6/30 9:59,别克,凯越,百姓,,,
贺州,2017/6/30 9:58,别克,凯越,搜狐,,,
南京,2017/6/30 9:57,别克,凯越,搜狐,,,
七台河,2017/6/30 9:57,别克,凯越,百姓,,,
杭州,2017/6/30 9:54,别克,凯越,二手车之家,,,
蚌埠,2017/6/30 9:53,别克,凯越,淘车,蚌埠市宏翔汽贸有限公司,网络媒体,3
沈阳,2017/6/30 9:53,别克,凯越,百姓,,,
杭州,2017/6/30 9:51,别克,凯越,大搜车,,,
惠州,2017/6/30 9:50,别克,凯越,搜狐,,,
芜湖,2017/6/30 9:50,别克,凯越,华夏二手车,,,
徐州,2017/6/30 9:44,别克,凯越,淘车,,,
南京,2017/6/30 9:44,别克,凯越,淘车,南京天众汽车销售服务有限公司,上汽大众,3
济南,2017/6/30 9:44,别克,凯越HRV,百姓,,,
泰安,2017/6/30 9:44,别克,凯越,百姓,,,
本溪,2017/6/30 9:42,别克,凯越,华夏二手车,,,
扬州,2017/6/30 9:41,别克,凯越,百姓,,,
唐山,2017/6/30 9:41,别克,凯越HRV,百姓,,,
洛阳,2017/6/30 9:38,别克,凯越,人人车,人人车（洛阳）,人人车网,2
岳阳,2017/6/30 9:34,别克,凯越,淘车,,,
郑州,2017/6/30 9:34,别克,凯越,淘车,看车网（郑州）,看车网,2
南宁,2017/6/30 9:34,别克,凯越,百姓,,,
池州,2017/6/30 9:33,别克,凯越,华夏二手车,,,
扬州,2017/6/30 9:31,别克,凯越,淘车,江苏淘车乐扬州公司,网络媒体,2
